UID,category,editModifyDate,startDate,endDate,hitRate,time,locationName,onSale,latitude,longitude,endTime,YearType,Period
60009636d083a330884e90d7,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,3,2021/01/01 14:30:00,臺北市立圖書館西湖分館,N,,,2021/12/31 16:00:00,Past,364
60009637d083a330884e90da,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,1,2021/01/01 10:30:00,臺北市立圖書館石牌分館,N,,,2021/12/31 12:00:00,Past,364
60009637d083a330884e90dc,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,2,2021/01/01 14:30:00,臺北市立圖書館吉利分館,N,25.119305999999998,121.508385,2021/12/31 16:00:00,Past,364
60009637d083a330884e90dd,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,2,2021/01/01 10:00:00,臺北市立圖書館葫蘆堵分館,N,,,2021/12/31 11:30:00,Past,364
60009638d083a330884e90de,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,3,2021/01/01 10:30:00,臺北市立圖書館東湖分館,N,,,2021/12/31 11:30:00,Past,364
6001e7a3d083a330884e90fb,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,15,2021/01/01 09:00:00,高雄市立圖書館六龜分館,N,23.0063302,120.6549199,2021/12/31 21:00:00,Past,364
6001e7add083a330884e910f,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,31,2021/01/01 11:00:00,歷史建築逍遙園,N,,,2021/12/31 17:00:00,Past,364
6001e7aed083a330884e9110,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,33,2021/01/01 10:00:00,高雄市旗山生活文化園區(原舊鼓山國小),N,22.8903798,120.48112069999999,2021/12/31 18:00:00,Past,364
6001e7aed083a330884e9111,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,68,2021/01/01 10:30:00,鳳儀書院,Y,22.6271266,120.35897179999999,2021/12/31 17:30:00,Past,364
6001e7aed083a330884e9112,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,105,2021/01/01 10:00:00,旗山車站(原旗山驛),Y,22.884622399999998,120.48197920000001,2021/12/31 18:00:00,Past,364
6001e7aed083a330884e9113,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,256,2021/01/01 10:00:00,打狗英國領事館文化園區,Y,22.618910999999997,120.26685,2021/12/31 19:00:00,Past,364
6001e7aed083a330884e9115,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,29,2021/01/01 09:00:00,原日本海軍鳳山無線電信所﹝前 海軍明德訓練班﹞,N,22.628801,120.3752351,2021/12/31 17:00:00,Past,364
6001e7afd083a330884e9116,6,,2021-01-01 00:00:00,2021-12-31 00:00:00,20,2021/01/01 10:00:00,原頂林仔邊警察官吏派出所,N,22.5047336,120.3948189,2021/12/31 17:00:00,Past,364
6001e7afd083a330884e9117,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,7,2021/01/01 10:00:00,臺北市立圖書館總館,N,,,2021/12/31 12:00:00,Past,364
6001e7afd083a330884e9118,7,,2021-01-01 00:00:00,2021-12-31 00:00:00,13,2021/01/01 09:30:00,臺北市立圖書館總館,N,,,2021/12/31 11:30:00,Past,364
